,description,id,location,name,price,seller,strikethrough-price,url
302,"Personalized Grilln' Apron
• Material: 100% polyster
• Size: 24"" neck loop, 29"" waist straps, 31 1/2"" long
• Personalize up to 12 characters on ...",1599942,,Personalized Grilln' Apron,$19.99,Monogram Online,$29.99,https://www.livingsocial.com/deals/1599942-personalized-grilln-apron?pos=302
303,"Cupcake and Baking Academy Online Course
• 20 essential units of study
• 12 months of unlimited access, compatible with Windows, Mac, iPhone, and...",1601258,,Cupcake and Baking Academy Online Course,$28.99,E-Careers,$336,https://www.livingsocial.com/deals/1601258-cupcake-and-baking-academy-online-course?pos=303
304,"Monogrammed Key Chain
• Choice of rectangle, round, or oval keychains
• Personalize with name or initials
• Colors: maple or rosewood",1600868,,Monogrammed Key Chain,$8.99,Monogram Online,$12.99,https://www.livingsocial.com/deals/1600868-monogrammed-key-chain?pos=304
305,"Gourmet Popcorn
• Check out the huge menu of popcorn options
• Sweet, savory, cheesy, spicy -- popcorn for every taste 
• Non-GMO premium kernel...",1595672,,$35 to Spend on Gourmet Popcorn,$15,POPtions Popcorn,$35,https://www.livingsocial.com/deals/1595672-35-to-spend-on-gourmet-popcorn?pos=305
306,"18x16 Monogram Circle Wood Cut Sign
• Made from 1/4"" Baltic birch plywood
• Hang it as-is, or paint it to match your decor",1595328,,18x16 Monogram Circle Wood Cut Sign,$29.99,Woodums,$59.99,https://www.livingsocial.com/deals/1595328-18x16-monogram-circle-wood-cut-sign?pos=306
307,"Personalized Bridesmaid Mug
• Capacity: 11oz
• Choose one, two, three, or four mugs
• Customization varies by design; choose from four options",1595218,,Personalized Bridesmaid Mug,$12.99,Monogram Online,$19.99,https://www.livingsocial.com/deals/1595218-personalized-bridesmaid-mug?pos=307
308,"Personalize Wedding Flasks
• Material: Stainless steel
• Capacity: 6 fl. oz.
• Customization options vary by design",1595212,,Personalize Wedding Flasks,$14.99,Monogram Online,$39.99,https://www.livingsocial.com/deals/1595212-personalize-wedding-flasks?pos=308
309,"Personalized Bridal Stemless Wine Glasses Set
• Material: Glass
• Capacity: 9 fl. oz.
• Choose one, two, three, or four glasses
• Customize wit...",1595038,,Personalized Bridal Stemless Wine Glasses Set,$12.99,Monogram Online,$29.99,https://www.livingsocial.com/deals/1595038-personalized-bridal-stemless-wine-glasses-set?pos=309
310,"Why You'll Love It
Find out about this facility
Learn more about classes
Lakevue Athletic Club Website
_____• $19.99 ($60.00 value) for One Mon...",1594808,Valencia,Month of Unlimited Gym Access and Classes,$19.99,Lakevue Athletic Club,$60,https://www.livingsocial.com/deals/1594808-month-of-unlimited-gym-access-and-classes?pos=310
311,"CLIPON Umbrella Solar Spotlight
• 12 ultrabright LEDs
• Rotates up to 135 degrees in any direction 
• Turns on automatically every night and cha...",1594668,,CLIPON Umbrella Solar Spotlight,$17.99,Touch of ECO,$49.99,https://www.livingsocial.com/deals/1594668-clipon-umbrella-solar-spotlight?pos=311
312,"Increase energy, fight fatigue, suppress your appetite, and give your metabolism a boost with an African mango supplement.

• Take two capsules a...",1594282,,African Mango Supplements,$7.99,Riptide Nutrition,$39.99,https://www.livingsocial.com/deals/1594282-african-mango-supplements?pos=312
313,"Personalized Mom Birthstone Heart Necklace
• Material: Sterling silver or gold 
• Pendant size: 23mm in diameter
• Customize with up to six birt...",1596558,,Personalized Mom Birthstone Heart Necklace,$29.99,Monogram Online,$89,https://www.livingsocial.com/deals/1596558-personalized-mom-birthstone-heart-necklace?pos=313
314,"Aphrodite Crystal Necklace
• Choose a sterling silver or gold necklace  
• Pendant size: 16mm x 13mm
• Includes a 43cm chain with 7cm extender",1596512,,Aphrodite Crystal Necklace with Swarovski Elements,$19.99,Neverland Sales,$69,https://www.livingsocial.com/deals/1596512-aphrodite-crystal-necklace-with-swarovski-elements?pos=314
315,"
Personalized Lariat Necklace with Crystal Ball
• Material: Sterling silver
• Customize with one initial letter",1596488,,Personalized Lariat Necklace with Crystal Ball,$24.99,Monogram Online,$59.99,https://www.livingsocial.com/deals/1596488-personalized-lariat-necklace-with-crystal-ball?pos=315
316,"Monogrammed Cotton Long Sleeve Onesie
• Material: 100% cotton 
• Sizes: 3 to 6 months and 6 to 12 months
• Choose a white or heather grey onesie...",1596482,,Monogrammed Cotton Long Sleeve Onesie,$14.99,Embellish Accessories and Gifts,$22.99,https://www.livingsocial.com/deals/1596482-monogrammed-cotton-long-sleeve-onesie?pos=316
317,"Personalized Drawstring Carry-All Backpack 
• Material: 100% microfiber front and durable air mesh with front zippered pocket and black drawstring...",1596338,,Personalized Drawstring Carry-All Backpack,$18.99,Embellish Accessories and Gifts,$36.99,https://www.livingsocial.com/deals/1596338-personalized-drawstring-carry-all-backpack?pos=317
318,"Carry your lunch in style with a personalized tote in a colorful design that's impossible to miss. Plus, easy-to-carry handles and spill-friendly n...",1593922,,Personalized Lunch Tote/Can Cooler,$19.99,Paper Concierge,$34.94,https://www.livingsocial.com/deals/1593922-personalized-lunch-tote-can-cooler?pos=318
319,"If you need a little extra natural, slow-burning while you're dieting, you can get help curbing your appetite with these HC6 Appetite Suppressant D...",1593892,,HC6 Appetite Suppressant Drops,$17.99,Riptide Nutrition,$99.99,https://www.livingsocial.com/deals/1593892-hc6-appetite-suppressant-drops?pos=319
320,"Commemorate an anniversary or special memory with this beautiful initials and date sterling silver necklace:

• Customize with two initials and a...",1593308,,Initials and Date Sterling Silver Necklace,$21.99,By Hannah Design,$43,https://www.livingsocial.com/deals/1593308-initials-and-date-sterling-silver-necklace?pos=320
321,"Personalized Oven Mitt, Personalized Potholder, or Personalized Apron
• Choose from a variety of designs
• Personalize with your name or another ...",1593292,,"Personalized Oven Mitt, Potholder, or Apron",$14.99,Monogram Online,$24.99,https://www.livingsocial.com/deals/1593292-personalized-oven-mitt-potholder-or-apron?pos=321
322,"Make a picnic or trip to the beach more festive with a colorful personalized beverage holder.

• Choose from 50 vibrant designs
• Personalize wi...",1591672,,Personalized Beverage Holder,$5.99,Paper Concierge,$12.95,https://www.livingsocial.com/deals/1591672-personalized-beverage-holder?pos=322
323,"Monogrammed Bandeau Swim Top
• Size: Small, medium, or large
• Colors: Mint, black, pink 
• Customization choices include three font options and...",1598828,,Monogrammed Bandeau Swim Top,$29.99,KABOLILLIE,$69.99,https://www.livingsocial.com/deals/1598828-monogrammed-bandeau-swim-top?pos=323
324,"Why You'll Love It
Learn more about these paleo and vegetarian meals
Check out the FAQ
Forge Lifestyle Website | Facebook | Instagram
_____",1598718,,Vegetarian Meal Delivery,$75,Forge Lifestyle,$110,https://www.livingsocial.com/deals/1598718-vegetarian-meal-delivery?pos=324
325,"Project Management Basics Online Course
• 15 lessons
• You'll receive a certificate upon completion of the course
• Enjoy 12 months of unlimited...",1598682,,Project Management Basics Online Course,$29.99,Go Skills,$49,https://www.livingsocial.com/deals/1598682-project-management-basics-online-course?pos=325
326,"Personalized Phone Stand
• Upload a photo or choose from a variety of photos and designs from the image library
• Choose from a variety of design...",1598158,,Personalized Phone Stand,$15.99,Paper Concierge,$39.98,https://www.livingsocial.com/deals/1598158-personalized-phone-stand?pos=326
327,"Personalized Frisbee
• Customize with up to 140 characters
• Mail your friends, family, and coworkers an unforgettable and unique gift -- anonymo...",1598008,,Personalized Frisbee,$5.99,Airmail Anonymous,$9.95,https://www.livingsocial.com/deals/1598008-personalized-frisbee?pos=327
328,"Personalized Photo Frame
• Can be personalized with up to 15 characters
• 7 frame options
• Material: natural wood frame with glass overlay
• M...",1599812,,Personalized Photo Frame,$24.99,American Laser Crafts,$39.99,https://www.livingsocial.com/deals/1599812-personalized-photo-frame?pos=328
329,"Monogrammed Golf Club Covers
• Colors: Black, white, forest green, red, navy blue, royal blue, pink, or maroon
• Choose any single initial in scr...",1599562,,Monogrammed Golf Club Covers,$22.99,Embellish Accessories and Gifts,$39.99,https://www.livingsocial.com/deals/1599562-monogrammed-golf-club-covers?pos=329
330,"Hoot Set  
• Choose from crystal or golden options
• Elegant, cute design is perfect for any occasion",1599238,,Crystal or 12K-Plated Golden Hoot Set,$15.99,Neverland Sales,$59,https://www.livingsocial.com/deals/1599238-crystal-or-12k-plated-golden-hoot-set?pos=330
331,"Golden, Crystal, or Rose Ava Ring
• 12K gold, rhodium colour, or rose gold plated
• Crystals made with Swarovski elements
• Available in multipl...",1599232,,"Golden, Crystal, or Rose Gold Ava Ring",$15.99,Neverland Sales,$59,https://www.livingsocial.com/deals/1599232-golden-crystal-or-rose-gold-ava-ring?pos=331
332,"Neverland Sales
• Elegant, delicate designs
• Accentuates any look
• Perfect for an exquisite evening on the town or everyday glamour at home",1599032,,Crystal Fido Necklace Made With Swarovski Elements,$15.99,Neverland Sales,$59,https://www.livingsocial.com/deals/1599032-crystal-fido-necklace-made-with-swarovski-elements?pos=332
333,"Monogram Key Chain with Pom Pom
• Choose a white, black, beige, pink, red, or purple pom-pom
• Customize with a sterling silver-plated monogram p...",1598932,,Monogram Key Chain with Pom Pom,$14.99,monogramhub.com,$99.99,https://www.livingsocial.com/deals/1598932-monogram-key-chain-with-pom-pom?pos=333
334,"With locations all around the country, America's Best Family Portrait Plan has plenty of photographers who know how to provide you with a portrait ...",1541352,,Photo Package with 16 Portrait Sessions,$59,America's Best Family Portrait Plan,$479,https://www.livingsocial.com/deals/1541352-photo-package-with-16-portrait-sessions?pos=334
335,"Jeffrey Thomas is a full-time Skype guitar, bass, ukulele instructor. Benefit from his expert teaching:

• $55 ($110 value) for four 30-minute gu...",1537702,,"4 Guitar, Bass, or Ukulele Lessons via Skype",$55,Jeffrey Thomas,$110,https://www.livingsocial.com/deals/1537702-4-guitar-bass-or-ukulele-lessons-via-skype?pos=335
336,Pittsburgh Sports Network offers a great way to stay in shape -- and meet new people -- while playing a sport that you love. These seven-week leagu...,1542858,,Full Season Registration for a Recreational Sport,$24.99,Pittsburgh Sports Network,$50,https://www.livingsocial.com/deals/1542858-full-season-registration-for-a-recreational-sport?pos=336
337,"Personalized Kitchen Bowl
• Size across the top: 7"" x 7""; across the bottom: 6"" x 6""
• Choose from two styles and three colors
• Customize with ...",1597542,,Personalized Kitchen Bowl,$24.99,Monogram Online,$39.99,https://www.livingsocial.com/deals/1597542-personalized-kitchen-bowl?pos=337
338,"Introduction To Interior Design Online Course
• 6 essential sections
• Unlimited 24/7 access to all course content
• Certificate available upon ...",1597072,,Introduction To Interior Design Online Course,$19.99,SkillSuccess,$199,https://www.livingsocial.com/deals/1597072-introduction-to-interior-design-online-course?pos=338
339,"Blogging and Content Marketing Online Course
• 10 live, interactive sessions available 24/7
• Course details and full schedule
• Certificate and...",1596888,,Blogging and Content Marketing Online Course,$49.99,Shaw Academy,$395,https://www.livingsocial.com/deals/1596888-blogging-and-content-marketing-online-course?pos=339
340,"An expert in clairvoyance, tarot readings, and more, this seventh generation psychic has been in business for 23 years:

• $15 ($80 value) for a ...",1501002,,30 Minute Tarot Card Reading,$10,Abigail's Mystic Oasis,$60,https://www.livingsocial.com/deals/1501002-30-minute-tarot-card-reading?pos=340
341,"While videos, film, photos, and slides can deteriorate with age and wear, the pros at this locale can convert yours into DVDs for long-lasting memo...",1244068,Coral Springs,3 Video-to-DVD Transfers or $50 Toward Transfers,$19,Sunrise Studios,$60,https://www.livingsocial.com/deals/1244068-3-video-to-dvd-transfers-or-50-toward-transfers?pos=341
342,"Mirroring the beautiful landscape surrounding it, Blue Moon Rising offers an eco-friendly Escape into the mountainside. With a commitment to sustai...",1598364,McHenry,Deep Creek Lake Cabins,$299,Blue Moon Rising,$498,https://www.livingsocial.com/escapes/properties/73608-deep-creek-lake-cabins?pos=342
343,"Your regular morning commute is filled with stop-and-go traffic, but you'll be able to put the pedal to the metal and feel the thunder with a drivi...",1596964,,Xtreme Xperience: Exotic Supercar Racetrack Drive,$129,Xtreme Xperience,$279,https://www.livingsocial.com/events/1596964-xtreme-xperience-exotic-supercar-racetrack-drive?pos=343
344,"Head to Tussey Mountain Ski Area  on Saturday, September 10 or Sunday, September 11, 2016 to test yourself in a fun, challenging endurance event.
...",1592014,Boalsburg,Entry to Hardcore Mudd Run,$44.99,Hardcore Mudd Run,$106,https://www.livingsocial.com/events/1592014-entry-to-hardcore-mudd-run?pos=344
345,Mom used to tell us nothing good happens after dark. We're assuming she had never heard of The Lantern Run. This cool nighttime race -- both a 5K a...,1573664,Johnstown,Entry Package to The Lantern Run,$29,The Lantern Run,$55,https://www.livingsocial.com/events/1573664-entry-package-to-the-lantern-run?pos=345
346,"This indoor inflatable playground puts safety at the top of the priority list, and fun directly afterward. With inflatables that are sanitized regu...",1535734,Canonsburg,5 Admissions to Planet Bounce for Ages 2 to 12,$30,Planet Bounce Pittsburgh,$50,https://www.livingsocial.com/deals/1535734-5-admissions-to-planet-bounce-for-ages-2-to-12?pos=346
347,"This deal ensures the perfect fit every single time. Make an appointment with a professional tailor from Made II Fit, and start sporting wearable m...",1310744,"Great Neck, New York","One, Three, or Five Custom-Tailored Shirts",$145,Made II Fit,$390,https://www.livingsocial.com/deals/1310744-one-three-or-five-custom-tailored-shirts?pos=347
348,"Soar on a zip line over tranquil ponds and creeks, test your nerve on swaying rope bridges, and have a blast in the great outdoors with this guided...",1580024,St. Clairsville,Canopy Challenge Course for 2,$51.99,Adventure Creek Zip Lines,$70,https://www.livingsocial.com/deals/1580024-canopy-challenge-course-for-2?pos=348
349," $30 to Spend at ManBuckets.com
• Manly food and gear sealed in one- and five-gallon steel paint buckets, pried open with a ManBuckets screwdriver...",1600724,,$30 to Spend on Gift Buckets for Manly Men,$15,ManBuckets.com,$30,https://www.livingsocial.com/deals/1600724-30-to-spend-on-gift-buckets-for-manly-men?pos=349
350,Don't wait until an emergency strikes to think about whether you can count on your garage door. The pros at Sears Garage Doors can help you feel sa...,1502284,,Garage Door Tune-Up and Safety Inspection,$49,Sears Garage Doors,$89,https://www.livingsocial.com/deals/1502284-garage-door-tune-up-and-safety-inspection?pos=350
351,Fresh techniques and a passion for creating flawless styles for the whole family take centerstage at this Mall Boulevard salon.  Let yourself relax...,1582914,Monroeville,"Partial Highlights, All-Over Color, and Haircut",$89.99,Monroeville Salon 11,$130,https://www.livingsocial.com/deals/1582914-partial-highlights-all-over-color-and-haircut?pos=351
352,"Treat your family to a superlative selection of assortments featuring 100% grass-fed, grass-finished, certified organic meats. Each of these packag...",1589544,,Grass-Fed Organic Meat with Free Shipping,$99.99,American Farmers Network,$276.76,https://www.livingsocial.com/deals/1589544-grass-fed-organic-meat-with-free-shipping?pos=352
353,"Using homemade flavors and bold seasoning, the chefs at Dabuzi's whip up tasty sandwiches, wings, and more. Bite into some serious comfort food at ...",1534324,Finleyville,$40 or $20 Toward Comfort Food,$20,Dabuzi's ,$40,https://www.livingsocial.com/deals/1534324-40-or-20-toward-comfort-food?pos=353
354,"If you've always had a passion for helping others, you can hone and market your skills through this wellness and life coaching certification course...",1543434,"Studio City, San Diego",In-Person Integrative Wellness & Life Coaching ,$399,Integrative Wellness Academy,$2450,https://www.livingsocial.com/deals/1543434-in-person-integrative-wellness-life-coaching?pos=354
355,"Wine Country Gift Baskets
• Carefully curated and delicious baskets with a variety of food and wine combinations
• Perfect for Father's Day, grad...",1600094,,$40 to Spend at Wine Country Gift Baskets,$20,Wine Country Gift Baskets,$40,https://www.livingsocial.com/deals/1600094-40-to-spend-at-wine-country-gift-baskets?pos=355
356,"
Brown Sparrow will design a logo base off your concept or a pre-existing logo you have already made. They will also design and print 250 business...",1535114,,Logo Design with 250 Business Cards or Web Design ,$75,Brown Sparrow,$150,https://www.livingsocial.com/deals/1535114-logo-design-with-250-business-cards-or-web-design?pos=356
357,"Personalized Antiqued Genuine Leather Journal 
     • 100 pages
• Rustic look gives your journal a stylish charm",1600104,,Personalized Antiqued Genuine Leather Journal ,$19.99,Monogram Online,$99.99,https://www.livingsocial.com/deals/1600104-personalized-antiqued-genuine-leather-journal?pos=357
358,"Feel confident in your toes after a visit to one of this clinic's ten locations, which will use special lasers to treat your nails or remove unsigh...",1391284,"Cranberry Twp, Pittsburgh","Nail Treatment Sessions, or Wart Removal",$69,BV Foot Clinic,$200,https://www.livingsocial.com/deals/1391284-nail-treatment-sessions-or-wart-removal?pos=358
359,"Whether your wood-paneled bathroom hasn't been upgraded since the '70s, or you're looking for a new state-of-the-art shower or bathtub, these pros ...",1529694,,"$1,000 Toward Bathtub or Shower Renovation",$100,Bath Planet of Pittsburgh,$1000,https://www.livingsocial.com/deals/1529694-1-000-toward-bathtub-or-shower-renovation?pos=359
360,"TwinSpot Pro Dual Solar Motion Spotlight
• Choose a white or black finish
• Two on-time settings for 14 motion sensor ECO-SMT LEDs
• Includes si...",1594654,,TwinSpot Pro Dual Solar Motion Spotlight,$39.99,Touch of ECO,$119.99,https://www.livingsocial.com/deals/1594654-twinspot-pro-dual-solar-motion-spotlight?pos=360
361,"Whether your wood-paneled bathroom hasn't been upgraded since the '70s, or you're looking for a new state-of-the-art shower or bathtub, these pros ...",1529694,,"$1,000 Toward Bathtub or Shower Renovation",$100,Bath Planet of Pittsburgh,$1000,https://www.livingsocial.com/deals/1529694-1-000-toward-bathtub-or-shower-renovation?pos=361
362,"These experts specialize in natural, traditional medicine, as well as rehabilitation, therapeutic massage, and even nutritional counseling -- that'...",1526534,Wexford,Oriental Medicine Package + Acupuncture,$49,Wexford Wellness,$150,https://www.livingsocial.com/deals/1526534-oriental-medicine-package-acupuncture?pos=362
363,"Choose From the Following Subscriptions:
• Yoga Journal (One year -- 9 issues)
• Oxygen (One year --12 issues)
• Clean Eating (One year -- 9 iss...",1600544,,Nutrition and Wellness Magazines,$7,Blue Dolphin Group,$13.95,https://www.livingsocial.com/deals/1600544-nutrition-and-wellness-magazines?pos=363
364,"Monogrammed Boyfriend Shirt
• Material: Cotton blend
• Size: Men's extra small, small, medium, large, and x-large (x-large measure 26"" chest and ...",1601394,,Monogrammed Boyfriend Shirt,$28.99,Embellish Accessories and Gifts,$60,https://www.livingsocial.com/deals/1601394-monogrammed-boyfriend-shirt?pos=364
365,"Personalized Engraved Leather Wallet
• Color: black or brown
• Laser engraved with your initials, monogram, name, or mix-and-match
• Select from...",1600964,,Personalized Engraved Leather Wallet,$19.99,PX Engraving,$59.99,https://www.livingsocial.com/deals/1600964-personalized-engraved-leather-wallet?pos=365
366,"Personalized Photo Apron
• Material: 100% polyester
• Size: One size fits all (Width: 31"", Length: 35.75"")
• Customize with a single image or co...",1600674,,Personalized Photo Apron,$24.99,Mailpix,$68,https://www.livingsocial.com/deals/1600674-personalized-photo-apron?pos=366
367,"Monogrammed Burlap Tote Bag
• Measurments: 20-inch width, 15-inch height, and 6/12-inch depth
• Colors: Red, grey, or black
• Materials: Two-ton...",1598944,,Monogrammed Burlap Tote Bag,$19.99,Gifts For You Now,$34.98,https://www.livingsocial.com/deals/1598944-monogrammed-burlap-tote-bag?pos=367
368,"Personalized Custom Star Kit
• A letter of congratulations
• Astronomy booklet with additional sky charts
• 16"" x 12"" full color parchment certi...",1597334,,Personalized Custom Star Kit,$19.99,International Star Registry of Illinois,$54,https://www.livingsocial.com/deals/1597334-personalized-custom-star-kit?pos=368
369,"Improve your cooking skills with 3 months of online cooking school membership backed by Wolfgang Puck himself with this exciting offer.

• 3-mont...",1587924,,3-Month Online Cooking School Membership,$5,Online Cooking School,$28,https://www.livingsocial.com/deals/1587924-3-month-online-cooking-school-membership?pos=369
370,"At the Irwin location of Anytime Fitness, you'll have access to a 24-hour gym filled with state-of-the-art equipment, private restrooms and showers...",1510034,Irwin,Gym Membership with Hydro-Massages,$69,Anytime Fitness,$300,https://www.livingsocial.com/deals/1510034-gym-membership-with-hydro-massages?pos=370
371,"Monogram Burlap Tote
• Material: Heavyweight 50% burlap, 50% cotton
• Size: 12"" x 7-3/4"" x 12""
• Customize with up to three monogram initials",1601024,,Monogram Burlap Tote,$19.99,Monogram Online,$44.99,https://www.livingsocial.com/deals/1601024-monogram-burlap-tote?pos=371
372,"Nail Technician Diploma Online
• Approved by the Independent Vocational Course Appraisal Service
• Qualification and certificate included followi...",1600074,,Nail Technician Diploma Online,$29.99,E-Careers,$334,https://www.livingsocial.com/deals/1600074-nail-technician-diploma-online?pos=372
373,"Personalized Aluminum Luggage Tags
• Material: aqua, forest, lilac, navy, pink, or rose aluminum
• Measurements: 2"" L x 3.75"" W
• Choose from si...",1600014,,Personalized Aluminum Luggage Tags,$9.99,American Laser Crafts,$17.99,https://www.livingsocial.com/deals/1600014-personalized-aluminum-luggage-tags?pos=373
374,"This superb team of local technicians has the know-how to help fight tough dirt, grime, and harmful allergens. Breathe a little easier in your home...",1262474,,Air Duct Cleaning or Dryer Vent Cleaning,$49,Fresh & Clean,$230,https://www.livingsocial.com/deals/1262474-air-duct-cleaning-or-dryer-vent-cleaning?pos=374
375,"Learn More About This Service Provider 
Steiner Sports: Sports Memorabilia, Autographed Sports Collectibles Website
_____• $50.00 ($75.00 value) ...",1601864,,$75 to Spend on Steiner Sports Memorabilia,$50,"Steiner Sports: Sports Memorabilia, Autographed Sports Collectibles",$75,https://www.livingsocial.com/deals/1601864-75-to-spend-on-steiner-sports-memorabilia?pos=375
376,"Photography for Kids Online 
• Help your little one explore his or her creative side
• Encourages focus and everyday learning
• 12 months of unl...",1599824,,Photography for Kids Online ,$29.99,e-Careers,$420,https://www.livingsocial.com/deals/1599824-photography-for-kids-online?pos=376
377,"""Learn to Draw"" or ""Learn to Paint"" Online Course
• Modules cover concepts from basics to advanced projects
• Creative video tutorials make learn...",1599514,,"""Learn to Draw"" or ""Learn to Paint"" Online Course",$29.99,Dynamic Ecourse,$1170,https://www.livingsocial.com/deals/1599514-learn-to-draw-or-learn-to-paint-online-course?pos=377
378,"1-Year Subscription to Delight Gluten Free Magazine 
• Receive six issues
• Learn tasty, gluten-free recipes that are sure to delight you and you...",1599464,,Delight Gluten Free Magazine,$5,Delight Gluten Free Magazine,$34.95,https://www.livingsocial.com/deals/1599464-delight-gluten-free-magazine?pos=378
379,"Personalized Coasters 
• Opt for a set of 4 or a set of 8
• Personalize with a photo, name, or monogram
• Coasters available in a variety of viv...",1599394,,Set of 4 Personalized Coasters,$16.99,Paper Concierge,$39.95,https://www.livingsocial.com/deals/1599394-set-of-4-personalized-coasters?pos=379
380,"Monogram Burlap Tote
• Material: Heavyweight 50% burlap, 50% cotton
• Size: 12"" x 7-3/4"" x 12""
• Customize with up to three monogram initials",1601024,,Monogram Burlap Tote,$19.99,Monogram Online,$44.99,https://www.livingsocial.com/deals/1601024-monogram-burlap-tote?pos=380
381,"Nail Technician Diploma Online
• Approved by the Independent Vocational Course Appraisal Service
• Qualification and certificate included followi...",1600074,,Nail Technician Diploma Online,$29.99,E-Careers,$334,https://www.livingsocial.com/deals/1600074-nail-technician-diploma-online?pos=381
382,"Personalized Aluminum Luggage Tags
• Material: aqua, forest, lilac, navy, pink, or rose aluminum
• Measurements: 2"" L x 3.75"" W
• Choose from si...",1600014,,Personalized Aluminum Luggage Tags,$9.99,American Laser Crafts,$17.99,https://www.livingsocial.com/deals/1600014-personalized-aluminum-luggage-tags?pos=382
383,"This superb team of local technicians has the know-how to help fight tough dirt, grime, and harmful allergens. Breathe a little easier in your home...",1262474,,Air Duct Cleaning or Dryer Vent Cleaning,$49,Fresh & Clean,$230,https://www.livingsocial.com/deals/1262474-air-duct-cleaning-or-dryer-vent-cleaning?pos=383
384,"Learn More About This Service Provider 
Steiner Sports: Sports Memorabilia, Autographed Sports Collectibles Website
_____• $50.00 ($75.00 value) ...",1601864,,$75 to Spend on Steiner Sports Memorabilia,$50,"Steiner Sports: Sports Memorabilia, Autographed Sports Collectibles",$75,https://www.livingsocial.com/deals/1601864-75-to-spend-on-steiner-sports-memorabilia?pos=384
385,Use your eye for detail and analytical mindset to help identify and prove a perpetrator's guilt with an accredited Forensic Science online course....,1593954,,Accredited Forensic Science Online Course,$29.99,International Open Academy,$299,https://www.livingsocial.com/deals/1593954-accredited-forensic-science-online-course?pos=385
386,"Complete your look with this monogrammed gold stamped clutch, which offers a classic, roomy design perfect for carrying all your essentials:

• C...",1593404,,Monogrammed Gold Stamped Clutch,$39.99,KABOLILLIE,$64.99,https://www.livingsocial.com/deals/1593404-monogrammed-gold-stamped-clutch?pos=386
387,"This Adjustable Travel Girl Bangle Bracelet is the perfect accessory for your next adventure away from home.

• Material: sterling silver-plated ...",1592544,,Adjustable Travel Girl Bangle Bracelet,$15.99,Monogramhub.com,$99.99,https://www.livingsocial.com/deals/1592544-adjustable-travel-girl-bangle-bracelet?pos=387
388,"Crystal Aztec Necklace with Swarovski Elements
• Material: Rhodium color-plated alloy
• Pendant dimensions: 9.4mm x 4.1mm
• Chain length: 43cm w...",1596814,,Crystal Aztec Necklace with Swarovski Elements,$12.99,Neverland Sales,$69,https://www.livingsocial.com/deals/1596814-crystal-aztec-necklace-with-swarovski-elements?pos=388
389,"Home Decor and Refurbishment Online Course
• 5 essential modules
• 30-hour course
• Access materials online 24/7
• You'll receive a certificate...",1596544,,Home Decor and Refurbishment Online Course,$19.99,Trendimi,$99,https://www.livingsocial.com/deals/1596544-home-decor-and-refurbishment-online-course?pos=389
390,"Enlightened Tree of Life Necklace Made with Swarovski Elements
• Choose a 12k gold-plated or Rhodium-colored (silver-colored) necklace 
• Pendant...",1596494,,Enlightened Tree of Life Necklace Made with Swarovski Elements,$18.99,Neverland Sales,$86,https://www.livingsocial.com/deals/1596494-enlightened-tree-of-life-necklace-made-with-swarovski-elements?pos=390
391,"Personalized Kids' Car Sunshade Guard
• Choose one or two guards 
• Size: 17 1/4"" x 14 1/4"" with two suction cups
• Customization options vary b...",1596474,,1 or 2 Personalized Kids' Car Sunshade Guards,$9.99,Monogram Online,$29.99,https://www.livingsocial.com/deals/1596474-1-or-2-personalized-kids-car-sunshade-guards?pos=391
392,"Online Diploma in Personal Nutrition
• 10 live, interactive sessions  -- eight online lessons over four weeks and two bonus lessons on demand 
• ...",1597734,,Online Diploma in Personal Nutrition,$39.99,Shaw Academy,$395,https://www.livingsocial.com/deals/1597734-online-diploma-in-personal-nutrition?pos=392
393,"Personalized Cosmetic Bag
• Size: 7.5"" x 5"" x 0.5""
• Customization options vary by design",1597574,,Personalized Cosmetic Bag,$14.99,Monogram Online,$29.99,https://www.livingsocial.com/deals/1597574-personalized-cosmetic-bag?pos=393
394,"Executive PA Course with Planning and Organization Course
• 21 essential units of study 
• 12 months of unlimited access, compatible with Windows...",1597154,,Executive PA & Planning and Organization Course,$29.99,E-Careers,$336,https://www.livingsocial.com/deals/1597154-executive-pa-planning-and-organization-course?pos=394
395,"Charm Bangle with Birthstone
• Material: Base metal
• Size: Charm sizes vary by design
• Choose a bracelet with one or two charms
• Customize w...",1594984,,Charm Bangle with Birthstone,$14.99,Monogram Online,$29.99,https://www.livingsocial.com/deals/1594984-charm-bangle-with-birthstone?pos=395
396,"Bring a cheerful touch to your child's bedroom with a personalized decorative pillow cover with a variety of fun design options, from tooth fairies...",1591484,,Personalized Decorative Pillow Cover,$12.99,Monogram Online,$29.99,https://www.livingsocial.com/deals/1591484-personalized-decorative-pillow-cover?pos=396
397,"Immortalize your family's everyday magic with a professional photo shoot held on-location at a gorgeous local park.

$24.95 ($100 value) for a 30...",1577914,,Outdoor Photo Session with an Image and Prints,$24.95,Smile America Portraits,$100,https://www.livingsocial.com/deals/1577914-outdoor-photo-session-with-an-image-and-prints?pos=397
398,"Growing up in the English music scene, master guitarist Rob learned his craft through studying an array of different genres and bands. Enhance your...",1528824,,1-Hour Skype Guitar Lesson,$25,Rob Garland Guitar,$50,https://www.livingsocial.com/deals/1528824-1-hour-skype-guitar-lesson?pos=398
